ProximityRank,Distance,Facility Name,Address,City/Town,State,Zipcode,Latitude,Longitude,Zipcode-1,Latitude-1,Longitude-1,City,State-1
1,12.043676017,ORANGE CITY AREA HEALTH SYSTEM,1000 LINCOLN CIRCLE SE,ORANGE CITY,IA,51041,43.02443,-96.07701,51022,42.97819,-95.84722,Granville,IA
1,14.294495081,MERCYONE NEWTON MEDICAL CENTER,204 N 4TH AVE E,NEWTON,IA,50208,41.71129,-93.03924,50228,41.57008,-93.24154,Prairie City,IA
1,9.364242089,MADISON COUNTY HEALTH CARE SYSTEM,300 WEST HUTCHINGS STREET,WINTERSET,IA,50273,41.32838,-94.05606,50218,41.34844,-93.87755,Patterson,IA
1,7.473684310,MERCYONE CENTERVILLE MEDICAL CENTER,ONE ST JOSEPH'S DRIVE,CENTERVILLE,IA,52544,40.71774,-92.90831,52555,40.63905,-92.81046,Exline,IA
1,6.353806375,CLARINDA REGIONAL HEALTH CENTER,220 ESSIE DAVISON DRIVE,CLARINDA,IA,51632,40.7478,-95.04939,51651,40.65652,-95.03473,Shambaugh,IA
1,17.443468688,CRAWFORD COUNTY MEMORIAL HOSPITAL,100 MEDICAL PARKWAY,DENISON,IA,51442,42.02696,-95.35915,51060,42.04189,-95.69844,Ute,IA
1,13.927516951,WASHINGTON COUNTY HOSPITAL AND CLINICS,400 EAST POLK STREET,WASHINGTON,IA,52353,41.29923,-91.71596,52356,41.4749,-91.84769,Wellman,IA
1,12.079163582,GENESIS MEDICAL CENTER-DAVENPORT,1227 EAST RUSHOLME STREET,DAVENPORT,IA,52803,41.53871,-90.55623,52726,41.50092,-90.78419,Blue Grass,IA
1,14.261506344,BUENA VISTA REGIONAL MEDICAL CENTER,1525 WEST 5TH STREET,STORM LAKE,IA,50588,42.65777,-95.16391,50535,42.45138,-95.16167,Early,IA
1,7.655454323,KEOKUK COUNTY HEALTH CENTER,23019 HIGHWAY 149,SIGOURNEY,IA,52591,41.31988,-92.19465,52231,41.36371,-92.05912,Harper,IA
1,15.614475168,CHI HEALTH MERCY COUNCIL BLUFFS,800 MERCY DRIVE,COUNCIL BLUFFS,IA,51503,41.2304,-95.77795,51561,41.00571,-95.80992,Pacific Junction,IA
1,15.614475168,METHODIST JENNIE EDMUNDSON,933 EAST PIERCE STREET,COUNCIL BLUFFS,IA,51503,41.2304,-95.77795,51561,41.00571,-95.80992,Pacific Junction,IA
1,0,HENRY COUNTY HEALTH CENTER,407 S WHITE ST,MOUNT PLEASANT,IA,52641,40.98799,-91.58531,52641,40.98799,-91.58531,Mount Pleasant,IA
1,9.294381756,GREENE COUNTY MEDICAL CENTER,1000 WEST LINCOLN WAY,JEFFERSON,IA,50129,42.01335,-94.3764,51462,42.01319,-94.55744,Scranton,IA
1,11.973563568,WASHINGTON COUNTY HOSPITAL AND CLINICS,400 EAST POLK STREET,WASHINGTON,IA,52353,41.29923,-91.71596,52248,41.34386,-91.93891,Keota,IA
1,8.571877621,SHENANDOAH MEDICAL CENTER,300 PERSHING AVENUE,SHENANDOAH,IA,51601,40.72938,-95.35037,51647,40.60539,-95.34509,Northboro,IA
1,12.692446167,TRINITY MUSCATINE,1518 MULBERRY AVENUE,MUSCATINE,IA,52761,41.43798,-91.05802,52766,41.46407,-91.30061,Nichols,IA
1,0,MONTGOMERY COUNTY MEMORIAL HOSPITAL,2301 EASTERN AVENUE,RED OAK,IA,51566,41.0151,-95.22994,51566,41.0151,-95.22994,Red Oak,IA
1,9.840603600,CLARKE COUNTY HOSPITAL,800 S FILLMORE ST,OSCEOLA,IA,50213,41.03292,-93.76557,50264,40.89919,-93.70071,Weldon,IA
1,7.937351147,CASS COUNTY MEMORIAL HOSPITAL,1501 EAST TENTH STREET,ATLANTIC,IA,50022,41.41737,-95.00352,50274,41.38261,-94.85756,Wiota,IA
1,9.519237744,CHI HEALTH MERCY COUNCIL BLUFFS,800 MERCY DRIVE,COUNCIL BLUFFS,IA,51503,41.2304,-95.77795,51548,41.31713,-95.63553,McClelland,IA
1,9.519237744,METHODIST JENNIE EDMUNDSON,933 EAST PIERCE STREET,COUNCIL BLUFFS,IA,51503,41.2304,-95.77795,51548,41.31713,-95.63553,McClelland,IA
