TUCASEID,TEAGE,TESEX,TRCHILDNUM,t020101,t020102,t020201,t020202,t020203,t020301,t020302,t020303,t020501,t020502,t020901,t020902,t020903,t020904,t020905
20240101240005,29,2,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20240101240020,77,2,0,90,0,35,0,0,0,0,0,0,0,0,0,0,0,0
20240101240098,19,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101240107,23,2,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0
20240101240123,22,2,1,60,0,27,0,0,0,0,0,0,0,0,0,0,0,0
20240101240143,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101240167,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101240176,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101240219,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101240237,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101240295,24,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20240101240500,76,2,1,0,309,105,0,15,0,0,0,0,0,0,0,0,0,0
20240101240512,51,2,0,0,15,20,0,0,0,0,0,0,0,5,20,0,0,0
20240101240519,78,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
20240101240533,38,2,2,0,0,60,0,45,0,0,0,0,0,0,0,0,0,0
20240101240541,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101240543,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101240549,42,2,2,0,0,35,0,20,0,0,0,0,0,0,0,0,0,0
20240101240566,42,2,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101240571,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101240573,60,1,0,0,0,30,0,0,0,0,0,0,0,0,15,0,0,0
20240101240575,71,1,0,40,60,110,0,15,10,0,1,0,0,0,0,0,0,0
20240101240577,31,2,2,0,0,10,0,0,0,0,0,0,0,0,45,0,0,0
20240101240622,85,1,0,0,0,60,0,0,0,0,0,420,0,0,0,0,0,0
20240101240656,71,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,45,0
20240101240658,77,1,0,60,0,40,0,0,0,0,0,0,0,0,0,0,60,0
20240101240660,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101240678,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101240724,47,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
20240101240738,80,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,30
20240101240750,50,2,0,2,0,10,0,0,0,0,0,0,0,0,7,2,0,0
20240101240766,71,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20240101240811,48,2,0,0,110,30,0,120,0,0,0,0,0,0,0,80,0,0
20240101240817,80,2,0,5,5,95,0,45,0,0,0,0,0,0,0,0,0,0
20240101240839,80,1,0,0,0,60,15,15,0,0,0,0,0,0,0,0,30,0
20240101240851,73,2,0,110,35,39,0,0,0,0,0,0,0,0,103,0,0,0
20240101240865,61,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
20240101240875,45,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101240876,74,2,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
20240101240880,78,1,0,0,0,5,0,0,0,0,0,0,0,0,120,0,15,0
20240101240896,37,1,1,0,0,70,0,20,60,0,0,0,0,0,0,0,0,0
20240101240904,63,2,0,120,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20240101240905,30,1,1,0,0,290,0,20,0,0,0,0,0,0,0,0,0,0
20240101240963,44,1,2,130,30,60,0,20,0,0,0,0,0,0,0,0,0,0
20240101240987,73,1,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0
20240101241018,27,2,1,0,0,20,0,10,0,0,0,0,0,0,0,0,0,0
20240101241026,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101241041,52,2,0,0,20,20,0,15,0,0,0,0,0,0,15,0,0,0
20240101241067,26,2,0,60,0,75,0,0,0,0,0,0,0,0,0,0,0,0
20240101241083,66,2,0,30,180,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101241101,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101241102,76,1,0,10,0,0,0,0,0,0,0,260,0,0,15,0,0,15
20240101241105,74,2,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
20240101241122,67,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101241177,85,1,0,0,0,25,0,0,0,0,0,0,0,0,0,75,0,0
20240101241178,74,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
20240101241186,80,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,15,0
20240101241187,58,2,0,0,0,195,0,15,0,0,0,0,0,0,0,0,0,0
20240101241197,69,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0
20240101241199,71,2,0,30,0,150,0,30,0,0,0,120,0,0,0,0,0,0
20240101241205,68,2,0,0,0,25,0,15,0,0,0,0,0,0,0,0,0,0
20240101241216,66,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20240101241240,85,2,0,0,0,290,0,60,0,0,0,0,0,0,0,0,0,0
20240101241253,43,2,2,0,0,30,0,20,0,0,0,0,0,0,0,0,0,0
20240101241270,72,2,0,0,0,45,0,30,0,0,0,0,0,0,0,0,0,0
20240101241272,53,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20240101241291,47,1,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
20240101241294,37,2,2,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
20240101241316,37,1,2,0,0,60,0,0,0,0,0,0,0,0,5,0,0,0
20240101241321,64,1,0,0,0,5,0,20,0,0,0,0,0,0,0,0,0,0
20240101241333,57,2,0,45,0,150,0,0,0,0,0,0,0,0,60,0,75,0
20240101241337,78,2,0,15,0,25,0,0,0,0,0,0,0,0,0,0,0,0
20240101241366,70,1,0,0,0,35,0,30,0,0,0,0,0,0,0,0,0,0
20240101241373,67,1,0,60,0,85,0,30,0,0,0,0,0,0,0,0,0,0
20240101241386,73,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20240101241390,63,1,0,0,0,10,0,30,0,0,0,0,0,0,0,0,0,0
20240101241399,47,2,3,20,10,15,0,50,0,0,0,0,0,0,0,0,0,0
20240101241458,72,1,0,0,85,30,0,25,0,0,0,0,0,20,55,15,0,0
20240101241466,60,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20240101241480,41,2,2,0,5,40,0,30,0,0,0,0,0,0,0,0,0,0
20240101241486,67,2,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0
20240101241516,28,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
20240101241534,75,2,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
20240101241559,70,2,0,0,0,45,0,20,0,0,0,0,0,0,0,0,0,0
20240101241561,64,2,0,30,5,7,0,5,0,0,0,0,0,0,0,0,0,0
20240101241568,80,2,0,46,0,130,0,0,0,0,0,0,0,10,0,13,0,0
20240101241571,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101241573,70,2,0,0,20,30,0,30,0,0,0,0,0,0,0,0,0,0
20240101241579,41,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20240101241580,68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101241607,70,1,0,90,90,30,0,0,0,0,0,0,0,0,0,0,0,0
20240101241610,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101241612,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101241623,49,2,0,0,180,60,0,30,0,0,0,0,0,0,0,60,0,0
20240101241624,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101241637,64,1,0,0,0,30,0,0,0,0,0,0,0,140,0,0,90,0
20240101241674,47,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101241692,37,2,1,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20240101241703,80,2,0,0,0,10,0,30,0,0,0,0,0,0,0,0,0,0
20240101241713,78,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101241724,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101241733,80,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
20240101241777,27,2,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
20240101241796,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101241818,52,1,1,0,0,25,0,15,0,0,0,0,0,30,30,0,0,0
20240101241819,72,2,0,221,2,9,0,0,0,0,0,0,0,0,40,0,112,2
20240101241828,41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101241848,73,2,0,75,0,30,0,30,0,0,0,0,0,0,0,0,0,0
20240101241853,36,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
20240101241868,36,2,3,0,0,50,0,10,0,0,0,0,0,0,0,0,0,0
20240101241872,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101241895,42,2,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
20240101241899,75,1,0,0,0,30,0,60,0,0,0,0,0,0,0,0,0,0
20240101241900,43,2,0,5,90,40,0,40,0,0,0,0,0,0,15,5,0,0
20240101241905,36,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
20240101241907,33,1,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20240101241916,62,2,0,0,150,30,0,0,0,0,0,0,0,0,0,0,0,0
20240101241920,32,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
20240101241936,42,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101241948,28,2,0,60,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20240101241951,44,2,4,60,21,30,0,0,0,0,0,0,0,0,0,0,0,0
20240101241986,68,2,0,120,0,20,0,0,0,0,0,0,0,0,0,0,0,0
20240101241990,58,2,0,120,60,60,0,60,0,0,0,0,0,0,0,0,0,0
20240101242001,80,2,0,0,0,70,0,60,0,0,0,0,0,0,0,0,0,0
20240101242003,38,2,0,0,8,49,5,25,0,0,0,0,0,0,0,0,0,0
20240101242010,78,2,0,240,0,90,0,60,0,0,0,0,0,0,0,0,0,0
20240101242020,78,1,0,0,0,20,0,0,0,0,0,0,0,625,0,0,0,0
20240101242060,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101242065,63,2,0,60,0,40,0,40,0,0,0,0,0,0,0,0,0,1
20240101242073,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101242093,59,2,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20240101242124,50,2,0,120,120,165,0,0,0,0,0,0,0,0,0,0,0,0
20240101242165,59,1,0,0,0,240,0,60,0,0,0,0,0,0,0,0,0,0
20240101242179,25,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20240101242180,35,1,2,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
20240101242186,69,1,0,243,0,60,0,0,0,0,75,0,0,0,0,0,45,0
20240101242207,48,2,0,0,15,20,0,10,0,0,0,0,0,0,0,0,0,0
20240101242210,37,2,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20240101242212,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101242217,30,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
20240101242218,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101242228,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101242275,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101242285,68,1,0,60,0,15,0,0,0,0,0,60,0,0,0,0,0,0
20240101242291,65,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20240101242294,34,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20240101242298,80,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101242316,32,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20240101242334,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240101242359,32,2,0,0,60,20,0,0,0,0,0,0,0,0,0,0,0,0
20240101242361,52,2,2,0,392,10,5,1,0,0,0,0,0,0,0,0,0,0
20240101242362,35,2,5,96,80,30,0,25,0,0,0,0,0,0,0,0,0,0
20240101242363,42,1,2,10,0,0,0,30,0,0,0,0,0,0,0,0,0,0
20240101242366,33,2,3,0,0,15,0,45,0,0,0,0,0,0,0,0,0,0
20240101242378,70,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
20240110230822,32,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20240110230840,56,2,0,0,0,270,0,300,0,0,0,0,0,0,0,0,0,0
20240110232026,64,2,1,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0
20240110232091,40,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
20240111230012,59,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
20240111230059,36,1,1,150,15,75,0,15,0,0,0,0,0,0,0,0,0,0
20240111230069,40,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20240111230085,39,2,3,120,0,165,0,90,0,0,0,0,0,0,0,0,0,0
20240111230092,57,2,0,30,0,0,0,0,0,0,0,0,0,0,45,0,0,0
20240111230132,17,2,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
20240111230142,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111230168,15,2,6,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111230187,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111230201,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111230203,19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111230212,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111230220,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111230240,24,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
20240111230248,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111230264,22,1,0,0,0,60,0,15,0,0,0,0,0,0,0,0,0,0
20240111230298,20,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
20240111230322,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111230325,24,1,0,0,45,60,0,0,0,0,0,0,0,0,5,0,0,0
20240111230327,17,1,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
20240111230529,67,2,2,40,60,60,0,30,0,0,0,0,0,0,15,40,0,0
20240111230571,29,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
20240111230576,39,1,0,430,0,45,0,0,0,0,0,0,0,0,0,0,0,0
20240111230582,51,1,2,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111230600,57,2,0,60,0,45,0,0,0,0,0,0,0,0,135,0,0,0
20240111230614,38,2,1,45,10,81,0,37,0,0,0,0,0,0,0,0,0,0
20240111230639,61,1,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
20240111230640,67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111230646,55,2,0,120,60,60,0,30,0,0,0,0,0,0,0,0,0,0
20240111230652,70,2,0,0,0,30,0,20,0,0,0,0,0,30,30,65,0,0
20240111230657,80,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
20240111230659,71,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20240111230671,77,1,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
20240111230674,68,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
20240111230676,79,1,0,0,0,0,0,0,0,0,0,0,0,60,0,30,0,0
20240111230681,36,1,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20240111230696,49,1,0,0,45,60,0,40,0,0,0,0,0,0,0,0,0,0
20240111230722,30,1,1,0,60,5,0,0,0,0,0,0,0,0,0,0,0,0
20240111230768,57,1,2,0,0,90,0,0,0,0,0,0,0,120,0,0,0,0
20240111230777,63,2,0,0,290,15,0,0,0,0,0,0,0,0,0,0,0,0
20240111230779,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111230781,79,1,0,0,0,120,0,0,60,0,0,0,0,0,0,0,0,0
20240111230795,46,2,0,0,120,60,0,120,0,0,0,0,0,0,0,0,0,0
20240111230803,75,2,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
20240111230813,57,2,0,0,20,6,0,0,0,0,0,0,0,0,30,0,0,0
20240111230818,49,2,0,0,10,10,0,0,0,0,0,0,0,0,5,5,0,0
20240111230827,39,2,3,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20240111230862,53,2,0,270,0,35,0,0,0,0,0,0,0,0,0,0,0,0
20240111230864,39,2,2,10,30,25,0,0,0,0,0,0,0,0,25,0,10,0
20240111230868,71,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
20240111230878,37,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20240111230921,25,2,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
20240111230922,34,1,2,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20240111230924,44,2,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
20240111230984,41,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
