Facility ID,FacilityAddress
160001,"55 UNITYPOINT WAY, MARSHALLTOWN, IA"
160013,"1518 MULBERRY AVENUE, MUSCATINE, IA"
160016,"802 KENYON RD, FORT DODGE, IA"
160028,"800 MERCY DRIVE, COUNCIL BLUFFS, IA"
160029,"500 E MARKET STREET, IOWA CITY, IA"
160030,"1111 DUFF AVENUE, AMES, IA"
160032,"204 N 4TH AVE E, NEWTON, IA"
160033,"1227 EAST RUSHOLME STREET, DAVENPORT, IA"
160040,"515 COLLEGE STREET, CEDAR FALLS, IA"
160045,"1026 A AVE NE, CEDAR RAPIDS, IA"
160047,"933 EAST PIERCE STREET, COUNCIL BLUFFS, IA"
160057,"1221 SOUTH GEAR AVENUE, WEST BURLINGTON, IA"
160058,"200 HAWKINS DRIVE, IOWA CITY, IA"
160064,"1000 FOURTH STREET SW, MASON CITY, IA"
160067,"3421 WEST NINTH STREET, WATERLOO, IA"
160069,"250 MERCY DRIVE, DUBUQUE, IA"
160079,"701 10TH STREET SE, CEDAR RAPIDS, IA"
160080,"1410 NORTH 4TH STREET, CLINTON, IA"
160082,"1200 PLEASANT STREET, DES MOINES, IA"
160083,"1111 6TH AVE, DES MOINES, IA"
160089,"1001 E PENNSYLVANIA, OTTUMWA, IA"
160101,"1801 HICKMAN ROAD, DES MOINES, IA"
160104,"4500 UTICA RIDGE ROAD, BETTENDORF, IA"
160110,"1825 LOGAN AVENUE, WATERLOO, IA"
160112,"1200 1ST AVENUE EAST, SPENCER, IA"
160117,"350 NORTH GRANDVIEW AVENUE, DUBUQUE, IA"
160124,"2301 HIGHWAY 71, SPIRIT LAKE, IA"
160146,"2720 STONE PARK BOULEVARD, SIOUX CITY, IA"
160147,"210 FOURTH AVENUE, GRINNELL, IA"
160153,"801 5TH ST, SIOUX CITY, IA"
161300,"255 N WELCH AVENUE, PRIMGHAR, IA"
161301,"403 FIRST STREET SE, BELMOND, IA"
161302,"1316 SOUTH MAIN STREET, CLARION, IA"
161303,"201 EAST J AVENUE, GRUNDY CENTER, IA"
161304,"603 ROSARY DRIVE, CORNING, IA"
161305,"606 N W 7TH STREET, POCAHONTAS, IA"
161306,"1795 HIGHWAY 64 EAST, ANAMOSA, IA"
161307,"532 1ST ST NW, BRITT, IA"
161308,"1720 CENTRAL AVENUE EAST, HAMPTON, IA"
161309,"631 N 8TH ST, MISSOURI VALLEY, IA"
161310,"609 SE KENT, GREENFIELD, IA"
161311,"1111 11TH STREET, HAWARDEN, IA"
161312,"200 MAIN STREET, GUTTENBERG, IA"
161313,"1118 11TH STREET, DEWITT, IA"
161314,"710 NORTH 12TH STREET, GUTHRIE CENTER, IA"
161315,"23019 HIGHWAY 149, SIGOURNEY, IA"
161316,"112 JEFFERSON STREET, WEST UNION, IA"
161317,"300 W MAY ST, MARENGO, IA"
161318,"40 1ST STREET SE, WAUKON, IA"
161319,"901 DAVIDSON STREET NW, ELKADER, IA"
161320,"909 WEST FIRST STREET, SUMNER, IA"
161321,"1100 S 10TH AVE, ROCK RAPIDS, IA"
161322,"610 TENTH STREET, PERRY, IA"
161323,"616 NORTH EIGHTH STREET, OSAGE, IA"
161324,"2959 US HIGHWAY 275, HAMBURG, IA"
161325,"1000 WEST LINCOLN WAY, JEFFERSON, IA"
161326,"300 WEST HUTCHINGS STREET, WINTERSET, IA"
161327,"509 NORTH MADISON STREET, BLOOMFIELD, IA"
161328,"235 8TH AVENUE WEST, CRESCO, IA"
161329,"700 W GROVE ST, MAQUOKETA, IA"
161330,"515 PACIFIC AVENUE, AUDUBON, IA"
161331,"308 NORTH MAPLE AVENUE, NEW HAMPTON, IA"
161333,"640 SOUTH 19TH STREET, NEVADA, IA"
161334,"1000 NORTH 15TH STREET, HUMBOLDT, IA"
161335,"1600 FIRST ST EAST, INDEPENDENCE, IA"
161336,"1202 21ST AVENUE, ROCK VALLEY, IA"
161337,"304 FRANKLIN STREET, KEOSAUQUA, IA"
161338,"201 EIGHTH AVENUE SE, OELWEIN, IA"
161339,"312  9TH STREET SW, WAVERLY, IA"
161340,"1405 NW CHURCH STREET, LEON, IA"
161341,"1200 NORTH 7TH STREET, CHARITON, IA"
161342,"6580 165TH STREET, ALBIA, IA"
161343,"709 W MAIN STREET, MANCHESTER, IA"
161344,"400 EAST POLK STREET, WASHINGTON, IA"
161345,"600 9TH AVENUE NORTH, SIBLEY, IA"
161346,"1101 9TH STREET SE, SIOUX CENTER, IA"
161347,"800 11TH ST, CHARLES CITY, IA"
161348,"800 S FILLMORE ST, OSCEOLA, IA"
161349,"502 NORTH 9TH AVENUE, VINTON, IA"
161350,"1301 WEST MAIN STREET, LAKE CITY, IA"
161351,"826 NORTH 8TH STREET, ESTHERVILLE, IA"
161352,"220 ESSIE DAVISON DRIVE, CLARINDA, IA"
161353,"1515 SOUTH PHILLIPS STREET, ALGONA, IA"
161354,"701 E 2ND ST, IDA GROVE, IA"
161355,"1002 SOUTH LINCOLN STREET, KNOXVILLE, IA"
161356,"407 S WHITE ST, MOUNT PLEASANT, IA"
161357,"3201 1ST STREET, EMMETSBURG, IA"
161358,"417 SOUTH EAST STREET, CORYDON, IA"
161359,"1600 DIAMOND STREET, ONAWA, IA"
161360,"1000 LINCOLN CIRCLE SE, ORANGE CITY, IA"
161361,"2350 HOSPITAL DRIVE, WEBSTER CITY, IA"
161362,"300 SIOUX VALLEY DRIVE, CHEROKEE, IA"
161363,"2301 EASTERN AVENUE, RED OAK, IA"
161364,"2000 S MAIN, FAIRFIELD, IA"
161365,"1700 WEST TOWNLINE STREET, CRESTON, IA"
161366,"300 PERSHING AVENUE, SHENANDOAH, IA"
161367,"404 JEFFERSON STREET, PELLA, IA"
161368,"714 LINCOLN ST NE, LE MARS, IA"
161369,"100 MEDICAL PARKWAY, DENISON, IA"
161371,"901 MONTGOMERY STREET, DECORAH, IA"
161372,"1015 UNION STREET, BOONE, IA"
161373,"504 NORTH CLEVELAND STREET, MOUNT AYR, IA"
161374,"1213 GARFIELD AVENUE, HARLAN, IA"
161375,"1525 WEST 5TH STREET, STORM LAKE, IA"
161376,"1501 EAST TENTH STREET, ATLANTIC, IA"
161377,"ONE ST JOSEPH'S DRIVE, CENTERVILLE, IA"
161378,"1111 3RD STREET SW, DYERSVILLE, IA"
161379,"1229 C AVENUE EAST, OSKALOOSA, IA"
161380,"920 SOUTH OAK STREET, IOWA FALLS, IA"
