TUCASEID,TEAGE,TESEX,TRCHILDNUM,t020101,t020102,t020201,t020202,t020203,t020301,t020302,t020303,t020501,t020502,t020901,t020902,t020903,t020904,t020905
20100101100019,30,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20100101100020,27,2,1,120,30,10,0,40,0,0,0,0,0,5,0,0,0,0
20100101100045,20,1,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20100101100050,69,2,0,0,60,50,0,20,0,0,0,120,0,0,0,0,0,0
20100101100053,31,2,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
20100101100087,63,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
20100101100095,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20100101100098,49,2,0,0,0,20,0,5,0,0,0,0,0,0,0,0,0,0
20100101100117,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20100101100119,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20100101100174,44,2,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20100101100175,17,1,4,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20100101100501,58,2,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0
20100101100517,58,2,0,0,0,45,0,0,0,0,0,45,0,0,0,0,0,0
20100101100518,24,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
20100101100520,55,2,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
20100101100534,30,2,2,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20100101100538,63,2,0,0,90,60,0,20,0,0,0,0,0,0,0,0,0,0
20100101100543,37,2,3,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0
20100101100554,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20100101100557,33,1,1,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
20100101100571,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20100101100603,48,2,2,0,25,85,0,15,0,0,0,0,0,45,20,0,0,0
20100101100605,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
