TUCASEID,TEAGE,TESEX,TRCHILDNUM,t020101,t020102,t020201,t020202,t020203,t020301,t020302,t020303,t020501,t020502,t020901,t020902,t020903,t020904,t020905
20150101150018,55,2,0,120,0,55,0,60,0,0,0,20,0,0,0,0,20,0
20150101150053,65,1,0,0,0,45,0,60,0,0,0,0,0,0,0,5,0,0
20150101150071,77,2,0,0,0,15,0,30,0,0,0,0,0,0,445,0,0,0
20150101150146,72,2,0,0,0,55,0,0,0,0,0,0,0,0,25,0,0,0
20150101150147,51,2,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
20150101150184,34,1,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
20150101150500,67,1,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0
20150101150523,38,1,4,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0
20150101150535,36,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150101150539,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150101150572,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150101150578,33,2,3,0,10,5,0,0,0,0,0,0,0,0,0,0,0,5
20150101150601,45,2,1,50,75,60,0,30,0,0,0,0,0,0,0,0,0,0
20150101150607,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150101150615,18,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150101150628,85,2,0,5,0,105,0,15,0,0,0,0,0,0,0,60,0,0
20150101150641,36,2,3,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
20150101150677,56,1,0,0,0,101,0,0,0,0,0,0,0,0,0,0,10,0
20150101150678,60,2,0,0,0,85,0,20,0,0,0,0,0,0,0,90,0,0
20150101150697,46,1,1,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
20150101150699,75,2,0,0,120,75,0,60,0,0,0,0,0,0,30,0,0,0
20150101150701,67,1,0,30,0,136,0,0,0,0,0,0,0,0,0,0,0,0
20150101150702,32,1,1,0,290,25,0,30,0,0,0,0,0,0,0,0,0,0
20150101150735,39,2,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20150101150748,32,2,4,35,20,85,0,0,0,0,0,0,0,0,0,0,10,0
20150101150756,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150101150787,85,1,0,90,15,65,0,50,0,0,0,0,0,0,60,0,0,0
