ProximityRank,Distance,Facility ID,Facility Name,Address,City/Town,State,ZIP Code,Hospital_Latitude,Hospital_Longitude,Zip Code,City_Latitude,City_Longitude,city,state_id
1,10.058481377,161360,ORANGE CITY AREA HEALTH SYSTEM,1000 LINCOLN CIRCLE SE,ORANGE CITY,IA,51041,42.99443815,-96.044973024,51022,42.97819,-95.84722,Granville,IA
1,13.393688150,160032,MERCYONE NEWTON MEDICAL CENTER,204 N 4TH AVE E,NEWTON,IA,50208,41.702482,-93.052114939,50228,41.57008,-93.24154,Prairie City,IA
1,7.375762048,161326,MADISON COUNTY HEALTH CARE SYSTEM,300 WEST HUTCHINGS STREET,WINTERSET,IA,50273,41.3279642,-94.017079250,50218,41.34844,-93.87755,Patterson,IA
1,7.388691505,161377,MERCYONE CENTERVILLE MEDICAL CENTER,ONE ST JOSEPH'S DRIVE,CENTERVILLE,IA,52544,40.7344306,-92.8742102,52555,40.63905,-92.81046,Exline,IA
1,4.646957086,161352,CLARINDA REGIONAL HEALTH CENTER,220 ESSIE DAVISON DRIVE,CLARINDA,IA,51632,40.723535,-95.042171,51651,40.65652,-95.03473,Shambaugh,IA
1,16.472736230,161369,CRAWFORD COUNTY MEMORIAL HOSPITAL,100 MEDICAL PARKWAY,DENISON,IA,51442,42.02404595,-95.378377477,51060,42.04189,-95.69844,Ute,IA
1,15.267600630,161344,WASHINGTON COUNTY HOSPITAL AND CLINICS,400 EAST POLK STREET,WASHINGTON,IA,52353,41.2892862,-91.687926689,52356,41.4749,-91.84769,Wellman,IA
1,12.143195875,160033,GENESIS MEDICAL CENTER-DAVENPORT,1227 EAST RUSHOLME STREET,DAVENPORT,IA,52803,41.54261735,-90.556167286,52726,41.50092,-90.78419,Blue Grass,IA
1,13.760490404,161375,BUENA VISTA REGIONAL MEDICAL CENTER,1525 WEST 5TH STREET,STORM LAKE,IA,50588,42.6454945,-95.222048810,50535,42.45138,-95.16167,Early,IA
1,8.148937506,161315,KEOKUK COUNTY HEALTH CENTER,23019 HIGHWAY 149,SIGOURNEY,IA,52591,41.3226677,-92.2063852,52231,41.36371,-92.05912,Harper,IA
1,18.161414981,160028,CHI HEALTH MERCY COUNCIL BLUFFS,800 MERCY DRIVE,COUNCIL BLUFFS,IA,51503,41.267536,-95.840503,51561,41.00571,-95.80992,Pacific Junction,IA
1,2.238711639,161356,HENRY COUNTY HEALTH CENTER,407 S WHITE ST,MOUNT PLEASANT,IA,52641,40.96216345,-91.559398859,52641,40.98799,-91.58531,Mount Pleasant,IA
1,9.413858498,161325,GREENE COUNTY MEDICAL CENTER,1000 WEST LINCOLN WAY,JEFFERSON,IA,50129,42.016055,-94.3741093,51462,42.01319,-94.55744,Scranton,IA
1,13.560230494,161344,WASHINGTON COUNTY HOSPITAL AND CLINICS,400 EAST POLK STREET,WASHINGTON,IA,52353,41.2892862,-91.687926689,52248,41.34386,-91.93891,Keota,IA
1,10.248143704,161366,SHENANDOAH MEDICAL CENTER,300 PERSHING AVENUE,SHENANDOAH,IA,51601,40.75260265,-95.368879819,51647,40.60539,-95.34509,Northboro,IA
1,13.022501338,160013,TRINITY MUSCATINE,1518 MULBERRY AVENUE,MUSCATINE,IA,52761,41.433859551,-91.052421843,52766,41.46407,-91.30061,Nichols,IA
1,1.046382733,161363,MONTGOMERY COUNTY MEMORIAL HOSPITAL,2301 EASTERN AVENUE,RED OAK,IA,51566,41.024278134,-95.213975067,51566,41.0151,-95.22994,Red Oak,IA
1,9.454890672,161348,CLARKE COUNTY HOSPITAL,800 S FILLMORE ST,OSCEOLA,IA,50213,41.02607865,-93.768529632,50264,40.89919,-93.70071,Weldon,IA
1,7.068020402,161376,CASS COUNTY MEMORIAL HOSPITAL,1501 EAST TENTH STREET,ATLANTIC,IA,50022,41.4010322,-94.9916804,50274,41.38261,-94.85756,Wiota,IA
1,10.914635291,160047,METHODIST JENNIE EDMUNDSON,933 EAST PIERCE STREET,COUNCIL BLUFFS,IA,51503,41.26805195,-95.835359837,51548,41.31713,-95.63553,McClelland,IA
1,9.486151203,161372,BOONE COUNTY HOSPITAL,1015 UNION STREET,BOONE,IA,50036,42.0560628,-93.877247960,50212,42.03515,-94.05996,Ogden,IA
1,8.283808825,161339,WAVERLY HEALTH CENTER,312  9TH STREET SW,WAVERLY,IA,50677,42.72302955,-92.482181312,50622,42.67358,-92.33358,Denver,IA
1,11.523274946,161382,ST ANTHONY REGIONAL HOSPITAL & NURSING HOME,311 SOUTH CLARK STREET,CARROLL,IA,51401,42.0560502,-94.865947814,51436,42.18254,-95.01247,Breda,IA
1,10.193337190,161313,GENESIS MEDICAL CENTER-DEWITT,1118 11TH STREET,DEWITT,IA,52742,41.826030252,-90.546591214,52731,41.96637,-90.48551,Charlotte,IA
1,8.340168914,161359,BURGESS HEALTH CENTER,1600 DIAMOND STREET,ONAWA,IA,51040,42.0260445,-96.1058711,51063,42.13103,-96.18611,Whiting,IA
1,8.046149422,161354,HORN MEMORIAL HOSPITAL,701 E 2ND ST,IDA GROVE,IA,51445,42.33844735,-95.459967292,51006,42.31088,-95.61299,Battle Creek,IA
1,5.481730253,161334,HUMBOLDT COUNTY MEMORIAL HOSPITAL,1000 NORTH 15TH STREET,HUMBOLDT,IA,50548,42.732774,-94.232441459,50582,42.79338,-94.30217,Rutland,IA
1,12.395451985,160030,MARY GREELEY MEDICAL CENTER,1111 DUFF AVENUE,AMES,IA,50010,42.03261625,-93.612288270,50243,41.86457,-93.6967,Sheldahl,IA
1,4.702573111,160057,SOUTHEAST IOWA REGIONAL MEDICAL CENTER,1221 SOUTH GEAR AVENUE,WEST BURLINGTON,IA,52655,40.8080834,-91.1760322,52601,40.8551,-91.111,Burlington,IA
1,14.743895034,160057,SOUTHEAST IOWA REGIONAL MEDICAL CENTER,1221 SOUTH GEAR AVENUE,WEST BURLINGTON,IA,52655,40.8080834,-91.1760322,52637,41.01949,-91.13774,Mediapolis,IA
1,7.240648519,161333,STORY COUNTY HOSPITAL,640 SOUTH 19TH STREET,NEVADA,IA,50201,42.00459755,-93.436658048,50056,42.01925,-93.29701,Colo,IA
1,13.763624145,160057,SOUTHEAST IOWA REGIONAL MEDICAL CENTER,1221 SOUTH GEAR AVENUE,WEST BURLINGTON,IA,52655,40.8080834,-91.1760322,52627,40.65973,-91.35145,Fort Madison,IA
1,14.261272013,161319,MERCYONE ELKADER MEDICAL CENTER,901 DAVIDSON STREET NW,ELKADER,IA,52043,42.8599754,-91.4157468,52157,43.01661,-91.23216,McGregor,IA
1,9.941706501,160101,BROADLAWNS MEDICAL CENTER,1801 HICKMAN ROAD,DES MOINES,IA,50314,41.6161753,-93.6412114,50111,41.69353,-93.80358,Grimes,IA
1,11.677333886,160047,METHODIST JENNIE EDMUNDSON,933 EAST PIERCE STREET,COUNCIL BLUFFS,IA,51503,41.26805195,-95.835359837,51554,41.14512,-95.68122,Mineola,IA
1,8.343546103,161326,MADISON COUNTY HEALTH CARE SYSTEM,300 WEST HUTCHINGS STREET,WINTERSET,IA,50273,41.3279642,-94.017079250,50222,41.21701,-93.95369,Peru,IA
1,20.843383319,160029,UNIVERSITY OF IOWA HEALTH CARE MEDICAL CENTER DOWN,500 E MARKET STREET,IOWA CITY,IA,52245,41.663561,-91.527917749,52772,41.75006,-91.14083,Tipton,IA
1,2.594811049,160104,TRINITY - BETTENDORF,4500 UTICA RIDGE ROAD,BETTENDORF,IA,52722,41.564756,-90.517447,52722,41.56633,-90.4673,Bettendorf,IA
1,1.146559596,161319,MERCYONE ELKADER MEDICAL CENTER,901 DAVIDSON STREET NW,ELKADER,IA,52043,42.8599754,-91.4157468,52043,42.84403,-91.42201,Elkader,IA
1,1.609393257,161344,WASHINGTON COUNTY HOSPITAL AND CLINICS,400 EAST POLK STREET,WASHINGTON,IA,52353,41.2892862,-91.687926689,52353,41.29923,-91.71596,Washington,IA
1,6.942772751,160101,BROADLAWNS MEDICAL CENTER,1801 HICKMAN ROAD,DES MOINES,IA,50314,41.6161753,-93.6412114,50131,41.69749,-93.72021,Johnston,IA
1,11.051782120,160030,MARY GREELEY MEDICAL CENTER,1111 DUFF AVENUE,AMES,IA,50010,42.03261625,-93.612288270,50248,42.19256,-93.61297,Story City,IA
1,18.238769677,161374,MYRTUE MEDICAL CENTER,1213 GARFIELD AVENUE,HARLAN,IA,51537,41.6466653,-95.327502709,51536,41.38385,-95.36025,Hancock,IA
1,12.428302293,161378,MERCYONE DYERSVILLE MEDICAL CENTER,1111 3RD STREET SW,DYERSVILLE,IA,52040,42.4755156,-91.131206102,52053,42.60656,-90.96399,Holy Cross,IA
1,7.949993422,161309,CHI HEALTH MISSOURI VALLEY,631 N 8TH ST,MISSOURI VALLEY,IA,51555,41.5624005,-95.885809311,51546,41.6399,-95.77209,Logan,IA
1,9.641454779,161317,COMPASS MEMORIAL HEALTHCARE,300 W MAY ST,MARENGO,IA,52301,41.8024715,-92.073073182,52257,41.91836,-92.17742,Luzerne,IA
1,12.537543819,161382,ST ANTHONY REGIONAL HOSPITAL & NURSING HOME,311 SOUTH CLARK STREET,CARROLL,IA,51401,42.0560502,-94.865947814,51467,42.07377,-95.10919,Westside,IA
1,0.810467447,161365,GREATER REGIONAL MEDICAL CENTER,1700 WEST TOWNLINE STREET,CRESTON,IA,50801,41.0698616,-94.383548006,50801,41.07959,-94.39224,Creston,IA
1,3.186875019,161314,GUTHRIE COUNTY HOSPITAL,710 NORTH 12TH STREET,GUTHRIE CENTER,IA,50115,41.6837137,-94.493477040,50115,41.68765,-94.55501,Guthrie Center,IA
1,14.734768338,160083,MERCYONE DES MOINES MEDICAL CENTER,1111 6TH AVE,DES MOINES,IA,50314,41.5993724,-93.6256024,50169,41.65617,-93.35062,Mitchellville,IA
1,11.287837457,161335,BUCHANAN COUNTY HEALTH CENTER,1600 FIRST ST EAST,INDEPENDENCE,IA,50644,42.4700542,-91.874598876,50648,42.45182,-92.09465,Jesup,IA
1,2.492098447,161378,MERCYONE DYERSVILLE MEDICAL CENTER,1111 3RD STREET SW,DYERSVILLE,IA,52040,42.4755156,-91.131206102,52040,42.51114,-91.13884,Dyersville,IA
1,7.655246310,161367,PELLA REGIONAL HEALTH CENTER,404 JEFFERSON STREET,PELLA,IA,50219,41.41314875,-92.912605981,50143,41.34245,-92.79893,Leighton,IA
