Mins,Year,TESEX
132.940860215,2005,Female
76.707884533,2017,Male
76.001389532,2018,Male
71.439197166,2013,Male
74.898126464,2014,Male
125.452687618,2016,Female
92.694078024,2024,Male
131.579108280,2004,Female
74.260794770,2010,Male
127.631958180,2008,Female
71.578937861,2012,Male
123.414723148,2013,Female
133.598419865,2022,Female
72.530662886,2009,Male
74.974175824,2011,Male
134.970807726,2023,Female
70.323464428,2003,Male
130.626632557,2006,Female
125.135280416,2017,Female
129.372949640,2007,Female
126.666557859,2015,Female
71.918185066,2005,Male
126.486173447,2012,Female
125.801717408,2019,Female
70.011105667,2004,Male
84.231792887,2021,Male
74.424945613,2006,Male
137.165367755,2024,Female
75.595074946,2016,Male
122.515639810,2018,Female
86.206691851,2022,Male
76.326077857,2015,Male
131.692577991,2003,Female
74.811060778,2007,Male
131.921679451,2021,Female
129.555733547,2009,Female
124.931247482,2010,Female
87.912825651,2023,Male
72.846412755,2008,Male
124.385952415,2011,Female
77.395035955,2019,Male
123.267934447,2014,Female
