TUCASEID,TEAGE,TESEX,TRCHILDNUM,t020101,t020102,t020201,t020202,t020203,t020301,t020302,t020303,t020501,t020502,t020901,t020902,t020903,t020904,t020905
20180101180006,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101180021,58,1,0,0,10,30,0,30,0,0,0,0,0,0,0,0,0,0
20180101180025,65,1,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0
20180101180054,72,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
20180101180060,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101180087,55,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
20180101180096,43,2,1,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20180101180108,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101180145,58,2,0,0,0,60,0,30,0,0,0,0,0,0,10,0,0,0
20180101180146,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101180165,30,2,2,20,0,30,0,30,0,0,0,0,0,0,0,0,0,0
20180101180507,47,1,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
20180101180519,64,2,0,0,0,30,0,15,0,0,0,0,0,0,0,0,0,0
20180101180521,61,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20180101180524,37,1,1,0,0,31,0,10,0,0,0,0,0,0,0,0,0,0
20180101180532,50,1,2,0,0,0,0,0,10,0,0,0,0,0,0,0,65,0
20180101180542,48,1,2,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
20180101180549,44,2,2,100,74,70,0,15,0,0,0,0,0,0,0,0,5,0
20180101180553,36,1,2,90,0,90,0,30,0,0,0,0,0,0,0,0,0,0
20180101180555,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101180571,21,2,0,0,0,40,0,0,0,0,0,0,0,0,5,0,0,0
20180101180576,54,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
20180101180577,62,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20180101180595,32,1,2,180,10,50,0,0,0,0,0,0,0,0,0,0,0,0
20180101180604,57,2,0,300,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20180101180623,64,2,0,0,0,20,0,0,0,0,0,360,0,0,0,0,0,0
20180101180648,33,2,1,0,65,40,20,0,0,0,0,0,0,0,0,0,0,0
20180101180652,47,1,1,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0
20180101180660,50,2,2,30,60,60,0,0,0,0,0,0,0,0,10,0,0,0
20180101180666,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101180685,74,2,0,0,0,30,0,15,0,0,0,0,0,0,0,0,0,0
20180101180691,47,1,1,180,0,75,0,0,0,0,0,0,0,0,0,0,0,0
20180101180700,29,2,4,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20180101180708,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101180710,25,2,1,0,110,40,0,17,0,0,0,0,0,0,0,0,0,0
20180101180723,17,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101180726,23,1,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20180101180730,57,1,1,0,0,30,0,0,0,0,0,0,0,0,5,0,0,0
20180101180735,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101180744,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101180750,36,2,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
20180101180752,68,2,0,15,0,20,0,7,0,0,0,0,0,0,0,0,0,0
20180101180759,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101180788,39,1,2,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20180101180790,68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20180101180797,70,2,0,0,120,90,0,45,0,0,0,0,0,10,20,25,0,0
20180101180806,40,2,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20180101180817,55,2,1,0,45,80,0,40,0,0,0,0,0,0,0,15,0,0
20180101180830,37,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0
20180101180857,44,2,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20180101180869,27,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20180101180872,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101180886,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
20180101180892,54,2,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20180101180897,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101180898,69,2,0,180,0,55,0,0,0,0,0,0,0,0,0,0,0,0
20180101180912,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101180916,62,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20180101180919,80,2,0,0,19,35,0,65,0,0,0,0,0,0,0,0,0,0
20180101180956,52,1,0,0,60,90,0,0,0,0,0,0,0,0,0,0,0,0
20180101180967,68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101180972,53,2,0,0,70,105,0,0,0,0,0,0,0,0,0,0,0,0
20180101180977,74,2,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
20180101180999,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101181029,80,2,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0
20180101181032,65,2,0,0,90,20,0,0,0,0,0,0,0,0,0,0,0,0
20180101181047,35,2,3,0,0,40,0,0,0,0,0,0,0,0,0,0,15,0
20180101181055,36,2,0,0,0,15,0,0,0,0,0,0,0,0,90,0,0,0
20180101181060,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101181081,65,1,0,0,0,30,0,10,180,0,0,0,0,0,35,0,0,0
20180101181092,45,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0
20180101181121,37,1,1,420,0,60,0,0,0,0,0,120,0,0,0,0,0,0
20180101181125,69,1,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0
20180101181130,72,1,0,60,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20180101181156,27,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101181166,78,1,0,0,0,0,0,0,0,0,0,0,0,0,75,0,120,0
20180101181180,55,1,2,3,10,12,0,20,0,0,0,0,0,0,0,0,2,0
20180101181184,52,2,0,120,30,110,0,120,0,0,0,0,0,0,0,0,0,0
20180101181193,26,2,0,60,30,5,0,0,0,0,0,0,0,0,0,0,0,0
20180101181198,67,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
20180101181203,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101181208,85,2,0,90,0,90,0,10,0,0,0,0,0,0,0,0,0,0
20180101181223,54,1,0,0,0,0,0,30,0,0,0,210,0,0,0,0,0,0
20180101181224,73,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101181226,62,2,0,0,0,30,0,10,0,0,0,0,0,0,5,0,0,0
20180101181236,57,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
20180101181240,63,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101181251,70,2,0,30,0,20,0,0,0,0,0,0,0,0,0,5,0,0
20180101181260,78,1,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0
20180101181279,68,2,0,0,0,65,0,30,0,0,0,0,0,70,0,0,60,0
20180101181306,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180101181314,17,2,1,0,0,60,0,45,0,0,0,0,0,0,0,0,0,0
20180101181326,79,1,0,0,0,90,0,15,0,0,0,0,0,0,0,0,90,0
